producto_id;subcategoria_producto_id
0;0
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
160;1
161;1
162;1
163;2
164;2
165;2
166;2
167;2
168;2
169;2
170;2
171;2
172;2
173;2
174;2
175;2
176;2
177;2
178;2
179;2
180;2
181;2
182;2
183;2
184;2
185;2
186;2
187;2
188;2
189;2
190;2
191;2
192;2
193;2
194;2
195;2
196;2
197;2
198;2
199;2
200;2
201;2
202;2
203;2
204;2
205;2
206;2
207;2
208;2
209;2
210;2
211;2
212;2
213;2
214;2
215;2
216;2
217;2
218;2
219;2
220;2
221;2
222;2
223;2
224;2
225;2
226;2
227;2
228;2
229;2
230;2
231;2
232;2
233;2
234;2
235;2
236;2
237;2
238;2
239;2
240;2
241;2
242;2
243;2
244;2
245;2
246;2
247;2
248;2
249;2
250;2
251;2
252;2
253;2
254;2
255;2
256;2
257;2
258;2
259;2
260;2
261;2
262;2
263;2
264;2
265;2
266;2
267;2
268;2
269;2
270;2
271;2
272;2
273;2
274;2
275;2
276;2
277;2
278;2
279;2
280;2
281;2
282;2
283;2
284;2
285;2
286;2
287;2
288;2
289;2
290;2
291;2
292;2
293;2
294;2
295;2
296;2
297;2
298;2
299;2
300;2
301;2
302;2
303;2
304;2
305;2
306;2
307;2
308;2
309;2
310;2
311;2
312;2
313;2
314;2
315;2
316;2
317;2
318;2
319;2
320;2
321;2
322;2
323;2
324;2
325;2
326;2
327;2
328;2
329;2
330;2
331;2
332;2
333;2
334;2
335;2
336;2
337;2
338;2
339;2
340;2
341;2
342;2
343;2
344;2
345;2
346;2
347;2
348;2
349;2
350;2
351;2
352;2
353;2
354;2
355;2
356;2
357;2
358;2
359;2
360;2
361;2
362;2
363;2
364;2
365;2
366;2
367;2
368;2
369;2
370;2
371;2
372;2
373;2
374;2
375;2
376;2
377;2
378;2
379;2
380;2
381;2
382;2
383;2
384;2
385;2
386;2
387;2
388;2
389;2
390;2
391;2
392;2
393;2
394;2
395;2
396;2
397;2
398;2
399;2
400;2
401;2
402;3
403;3
404;3
405;3
406;3
407;3
408;3
409;3
410;3
411;3
412;3
413;3
414;3
415;3
416;3
417;3
418;3
419;3
420;3
421;3
422;3
423;3
424;3
425;3
426;3
427;3
428;3
429;3
430;3
431;3
432;3
433;3
434;3
435;3
436;3
437;3
438;3
439;3
440;3
441;3
442;3
443;3
444;3
445;3
446;3
447;3
448;3
449;3
450;3
451;3
452;3
453;3
454;3
455;3
456;3
457;3
458;3
459;3
460;3
461;3
462;3
463;3
464;3
465;3
466;3
467;3
468;3
469;3
470;3
471;3
472;3
473;3
474;3
475;3
476;3
477;3
478;3
479;3
480;3
481;3
482;3
483;3
484;3
485;3
486;3
487;3
488;3
489;3
490;3
491;3
492;3
493;3
494;4
495;4
496;4
497;4
498;4
499;4
500;4
501;4
502;4
503;4
504;4
505;4
506;4
507;4
508;4
509;4
510;4
511;4
512;4
513;4
514;4
515;4
516;4
517;4
518;4
519;4
520;4
521;4
522;4
523;4
524;4
525;4
526;4
527;4
528;4
529;4
530;4
531;4
532;5
533;5
534;5
535;5
536;5
537;5
538;5
539;5
540;5
541;5
542;5
543;5
544;5
545;5
546;5
547;5
548;5
549;5
550;5
551;5
552;5
553;5
554;5
555;5
556;5
557;5
558;5
559;5
560;5
561;5
562;5
563;5
564;5
565;5
566;5
567;5
568;5
569;5
570;5
571;5
572;5
573;5
574;5
575;5
576;5
577;5
578;5
579;5
580;5
581;5
582;5
583;5
584;5
585;5
586;5
587;5
588;5
589;5
590;5
591;5
592;5
593;5
594;5
595;5
596;5
597;5
598;5
599;5
600;5
601;5
602;5
603;5
604;5
605;5
606;5
607;5
608;5
609;5
610;5
611;5
612;5
613;5
614;5
615;5
616;5
617;5
618;5
619;5
620;5
621;5
622;5
623;5
624;5
625;5
626;5
627;5
628;5
629;5
630;5
631;5
632;5
633;5
634;5
635;5
636;5
637;5
638;5
639;5
640;5
641;5
642;5
643;5
644;5
645;5
646;5
647;5
648;5
649;5
650;5
651;5
652;5
653;5
654;5
655;5
656;5
657;5
658;5
659;5
660;5
661;5
662;5
663;5
664;5
665;5
666;5
667;5
668;5
669;5
670;5
671;5
672;5
673;5
674;5
675;5
676;5
677;5
678;5
679;5
680;5
681;5
682;5
683;5
684;5
685;5
686;5
687;5
688;5
689;5
690;5
691;5
692;5
693;5
694;5
695;5
696;5
697;5
698;5
699;5
700;5
701;5
702;5
703;5
704;5
705;5
706;5
707;5
708;5
709;5
710;5
711;5
712;5
713;5
714;5
715;5
716;5
717;5
718;5
719;5
720;5
721;5
722;5
723;5
724;5
725;5
726;5
727;5
728;5
729;5
730;5
731;5
732;5
733;5
734;5
735;5
736;5
737;5
738;5
739;5
740;5
741;5
742;5
743;5
744;5
745;5
746;5
747;5
748;5
749;5
750;5
751;5
752;5
753;5
754;5
755;5
756;5
757;5
758;5
759;5
760;5
761;5
762;5
763;5
764;5
765;5
766;5
767;5
768;5
769;5
770;5
771;5
772;5
773;5
774;5
775;5
776;5
777;5
778;5
779;5
780;5
781;5
782;5
783;5
784;5
785;5
786;5
787;5
788;5
789;5
790;5
791;5
792;5
793;5
794;5
795;5
796;5
797;5
798;5
799;5
800;5
801;5
802;5
803;5
804;5
805;5
806;5
807;5
808;5
809;5
810;6
811;6
812;6
813;6
814;6
815;6
816;6
817;6
818;6
819;6
820;6
821;6
822;6
823;6
824;6
825;6
826;6
827;6
828;7
829;7
830;7
831;7
832;7
833;7
834;8
835;8
836;8
837;8
838;8
839;8
840;8
841;8
842;8
843;8
844;8
845;8
846;8
847;8
848;8
849;8
850;8
851;8
852;8
853;8
854;8
855;8
856;8
857;8
858;8
859;8
860;8
861;8
862;8
863;8
864;8
865;8
866;8
867;8
868;8
869;8
870;8
871;8
872;8
873;8
874;8
875;8
876;8
877;8
878;8
879;8
880;8
881;8
882;8
883;8
884;8
885;8
886;8
887;8
888;8
889;8
890;8
891;8
892;8
893;8
894;8
895;8
896;8
897;8
898;8
899;8
900;8
901;8
902;8
903;8
904;8
905;8
906;8
907;8
908;8
909;8
910;8
911;8
912;8
913;8
914;8
915;8
916;8
917;8
918;8
919;8
920;8
921;8
922;8
923;8
924;8
925;8
926;8
927;8
928;8
929;8
930;8
931;8
932;8
933;8
934;8
935;8
936;8
937;8
938;8
939;8
940;8
941;8
942;8
943;8
944;8
945;8
946;8
947;8
948;8
949;8
950;8
951;8
952;8
953;8
954;8
955;8
956;8
957;8
958;8
959;8
960;8
961;8
962;8
963;8
964;8
965;8
966;8
967;8
968;8
969;8
970;8
971;8
972;8
973;8
974;8
975;8
976;8
977;8
978;8
979;8
980;8
981;8
982;8
983;8
984;8
985;8
986;8
987;8
988;8
989;8
990;8
991;8
992;8
993;8
994;8
995;8
996;8
997;8
998;8
999;8
1000;8
1001;8
1002;8
1003;8
1004;8
1005;8
1006;8
1007;8
1008;8
1009;8
1010;8
1011;8
1012;8
1013;8
1014;8
1015;8
1016;8
1017;8
1018;8
1019;8
1020;8
1021;8
1022;8
1023;8
1024;8
1025;8
1026;8
1027;8
1028;8
1029;8
1030;8
1031;8
1032;8
1033;8
1034;8
1035;8
1036;8
1037;8
1038;8
1039;8
1040;8
1041;8
1042;8
1043;8
1044;8
1045;8
1046;8
1047;8
1048;8
1049;8
1050;8
1051;8
1052;8
1053;8
1054;8
1055;8
1056;8
1057;8
1058;8
